group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,heap,11,,,5056675.0,ns,1
HeapVecComparison,heap,11,,,10139190.0,ns,2
HeapVecComparison,heap,11,,,15063106.0,ns,3
HeapVecComparison,heap,11,,,20079436.0,ns,4
HeapVecComparison,heap,11,,,25056473.0,ns,5
HeapVecComparison,heap,11,,,30049810.0,ns,6
HeapVecComparison,heap,11,,,35054186.0,ns,7
HeapVecComparison,heap,11,,,40068974.0,ns,8
HeapVecComparison,heap,11,,,45042864.0,ns,9
HeapVecComparison,heap,11,,,50035058.0,ns,10
HeapVecComparison,heap,11,,,55015582.0,ns,11
HeapVecComparison,heap,11,,,60229612.0,ns,12
HeapVecComparison,heap,11,,,65232166.0,ns,13
HeapVecComparison,heap,11,,,70189537.0,ns,14
HeapVecComparison,heap,11,,,75157275.0,ns,15
HeapVecComparison,heap,11,,,80340477.0,ns,16
HeapVecComparison,heap,11,,,85246691.0,ns,17
HeapVecComparison,heap,11,,,90369672.0,ns,18
HeapVecComparison,heap,11,,,95355874.0,ns,19
HeapVecComparison,heap,11,,,100576588.0,ns,20
HeapVecComparison,heap,11,,,105381111.0,ns,21
HeapVecComparison,heap,11,,,110528826.0,ns,22
HeapVecComparison,heap,11,,,115346825.0,ns,23
HeapVecComparison,heap,11,,,120133443.0,ns,24
HeapVecComparison,heap,11,,,125468210.0,ns,25
HeapVecComparison,heap,11,,,130672334.0,ns,26
HeapVecComparison,heap,11,,,135664948.0,ns,27
HeapVecComparison,heap,11,,,140489780.0,ns,28
HeapVecComparison,heap,11,,,145082053.0,ns,29
HeapVecComparison,heap,11,,,150240520.0,ns,30
HeapVecComparison,heap,11,,,155757801.0,ns,31
HeapVecComparison,heap,11,,,160578713.0,ns,32
HeapVecComparison,heap,11,,,165619500.0,ns,33
HeapVecComparison,heap,11,,,170813593.0,ns,34
HeapVecComparison,heap,11,,,175513700.0,ns,35
HeapVecComparison,heap,11,,,180653139.0,ns,36
HeapVecComparison,heap,11,,,185630578.0,ns,37
HeapVecComparison,heap,11,,,190381118.0,ns,38
HeapVecComparison,heap,11,,,195378553.0,ns,39
HeapVecComparison,heap,11,,,200792961.0,ns,40
HeapVecComparison,heap,11,,,205719511.0,ns,41
HeapVecComparison,heap,11,,,210679075.0,ns,42
HeapVecComparison,heap,11,,,215769244.0,ns,43
HeapVecComparison,heap,11,,,220563606.0,ns,44
HeapVecComparison,heap,11,,,225778459.0,ns,45
HeapVecComparison,heap,11,,,230627405.0,ns,46
HeapVecComparison,heap,11,,,236113296.0,ns,47
HeapVecComparison,heap,11,,,241151326.0,ns,48
HeapVecComparison,heap,11,,,246226617.0,ns,49
HeapVecComparison,heap,11,,,251223841.0,ns,50
HeapVecComparison,heap,11,,,255848006.0,ns,51
HeapVecComparison,heap,11,,,260820113.0,ns,52
HeapVecComparison,heap,11,,,266113311.0,ns,53
HeapVecComparison,heap,11,,,271157815.0,ns,54
HeapVecComparison,heap,11,,,276168044.0,ns,55
HeapVecComparison,heap,11,,,281053747.0,ns,56
HeapVecComparison,heap,11,,,285889709.0,ns,57
HeapVecComparison,heap,11,,,291123858.0,ns,58
HeapVecComparison,heap,11,,,295677380.0,ns,59
HeapVecComparison,heap,11,,,300896249.0,ns,60
HeapVecComparison,heap,11,,,305989694.0,ns,61
HeapVecComparison,heap,11,,,311234283.0,ns,62
HeapVecComparison,heap,11,,,317926606.0,ns,63
HeapVecComparison,heap,11,,,324860874.0,ns,64
HeapVecComparison,heap,11,,,326960241.0,ns,65
HeapVecComparison,heap,11,,,331272621.0,ns,66
HeapVecComparison,heap,11,,,336053391.0,ns,67
HeapVecComparison,heap,11,,,341481331.0,ns,68
HeapVecComparison,heap,11,,,348920126.0,ns,69
HeapVecComparison,heap,11,,,354320977.0,ns,70
HeapVecComparison,heap,11,,,356138927.0,ns,71
HeapVecComparison,heap,11,,,361045620.0,ns,72
HeapVecComparison,heap,11,,,366021116.0,ns,73
HeapVecComparison,heap,11,,,372226756.0,ns,74
HeapVecComparison,heap,11,,,376595662.0,ns,75
HeapVecComparison,heap,11,,,381376499.0,ns,76
HeapVecComparison,heap,11,,,388549314.0,ns,77
HeapVecComparison,heap,11,,,394868539.0,ns,78
HeapVecComparison,heap,11,,,396731813.0,ns,79
HeapVecComparison,heap,11,,,401607030.0,ns,80
HeapVecComparison,heap,11,,,407869867.0,ns,81
HeapVecComparison,heap,11,,,412811476.0,ns,82
HeapVecComparison,heap,11,,,417421997.0,ns,83
HeapVecComparison,heap,11,,,422132041.0,ns,84
HeapVecComparison,heap,11,,,427660151.0,ns,85
HeapVecComparison,heap,11,,,432106733.0,ns,86
HeapVecComparison,heap,11,,,437639592.0,ns,87
HeapVecComparison,heap,11,,,442695024.0,ns,88
HeapVecComparison,heap,11,,,447677792.0,ns,89
HeapVecComparison,heap,11,,,452773130.0,ns,90
HeapVecComparison,heap,11,,,457906479.0,ns,91
HeapVecComparison,heap,11,,,462607818.0,ns,92
HeapVecComparison,heap,11,,,467852997.0,ns,93
HeapVecComparison,heap,11,,,472743633.0,ns,94
HeapVecComparison,heap,11,,,477458575.0,ns,95
HeapVecComparison,heap,11,,,483170832.0,ns,96
HeapVecComparison,heap,11,,,487652540.0,ns,97
HeapVecComparison,heap,11,,,493083946.0,ns,98
HeapVecComparison,heap,11,,,498136525.0,ns,99
HeapVecComparison,heap,11,,,503716654.0,ns,100
