group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,vec,30,,,7646743.0,ns,1
HeapVecComparison,vec,30,,,15265185.0,ns,2
HeapVecComparison,vec,30,,,22811742.0,ns,3
HeapVecComparison,vec,30,,,30268890.0,ns,4
HeapVecComparison,vec,30,,,37937114.0,ns,5
HeapVecComparison,vec,30,,,45393592.0,ns,6
HeapVecComparison,vec,30,,,53041028.0,ns,7
HeapVecComparison,vec,30,,,60624633.0,ns,8
HeapVecComparison,vec,30,,,68264003.0,ns,9
HeapVecComparison,vec,30,,,75964840.0,ns,10
HeapVecComparison,vec,30,,,83290311.0,ns,11
HeapVecComparison,vec,30,,,90757107.0,ns,12
HeapVecComparison,vec,30,,,98609719.0,ns,13
HeapVecComparison,vec,30,,,106290727.0,ns,14
HeapVecComparison,vec,30,,,113867379.0,ns,15
HeapVecComparison,vec,30,,,121466454.0,ns,16
HeapVecComparison,vec,30,,,129038088.0,ns,17
HeapVecComparison,vec,30,,,136677508.0,ns,18
HeapVecComparison,vec,30,,,144171606.0,ns,19
HeapVecComparison,vec,30,,,151818151.0,ns,20
HeapVecComparison,vec,30,,,159227558.0,ns,21
HeapVecComparison,vec,30,,,166713632.0,ns,22
HeapVecComparison,vec,30,,,174320321.0,ns,23
HeapVecComparison,vec,30,,,182161480.0,ns,24
HeapVecComparison,vec,30,,,189734695.0,ns,25
HeapVecComparison,vec,30,,,197376572.0,ns,26
HeapVecComparison,vec,30,,,204863806.0,ns,27
HeapVecComparison,vec,30,,,212501944.0,ns,28
HeapVecComparison,vec,30,,,219776281.0,ns,29
HeapVecComparison,vec,30,,,227711605.0,ns,30
HeapVecComparison,vec,30,,,235258793.0,ns,31
HeapVecComparison,vec,30,,,242981790.0,ns,32
HeapVecComparison,vec,30,,,250490736.0,ns,33
HeapVecComparison,vec,30,,,258034497.0,ns,34
HeapVecComparison,vec,30,,,265658399.0,ns,35
HeapVecComparison,vec,30,,,273022222.0,ns,36
HeapVecComparison,vec,30,,,280790034.0,ns,37
HeapVecComparison,vec,30,,,288390741.0,ns,38
HeapVecComparison,vec,30,,,298069587.0,ns,39
HeapVecComparison,vec,30,,,302918343.0,ns,40
HeapVecComparison,vec,30,,,310583791.0,ns,41
HeapVecComparison,vec,30,,,318496356.0,ns,42
HeapVecComparison,vec,30,,,325210099.0,ns,43
HeapVecComparison,vec,30,,,333160152.0,ns,44
HeapVecComparison,vec,30,,,341254126.0,ns,45
HeapVecComparison,vec,30,,,348316814.0,ns,46
HeapVecComparison,vec,30,,,356105164.0,ns,47
HeapVecComparison,vec,30,,,364266894.0,ns,48
HeapVecComparison,vec,30,,,370962874.0,ns,49
HeapVecComparison,vec,30,,,378871700.0,ns,50
HeapVecComparison,vec,30,,,386341915.0,ns,51
HeapVecComparison,vec,30,,,393864194.0,ns,52
HeapVecComparison,vec,30,,,401391505.0,ns,53
HeapVecComparison,vec,30,,,409287356.0,ns,54
HeapVecComparison,vec,30,,,417407379.0,ns,55
HeapVecComparison,vec,30,,,423735199.0,ns,56
HeapVecComparison,vec,30,,,431859808.0,ns,57
HeapVecComparison,vec,30,,,439349069.0,ns,58
HeapVecComparison,vec,30,,,446833957.0,ns,59
HeapVecComparison,vec,30,,,454598565.0,ns,60
HeapVecComparison,vec,30,,,461918936.0,ns,61
HeapVecComparison,vec,30,,,469908302.0,ns,62
HeapVecComparison,vec,30,,,477421457.0,ns,63
HeapVecComparison,vec,30,,,485278815.0,ns,64
HeapVecComparison,vec,30,,,492517065.0,ns,65
HeapVecComparison,vec,30,,,499838237.0,ns,66
HeapVecComparison,vec,30,,,507314952.0,ns,67
HeapVecComparison,vec,30,,,515078977.0,ns,68
HeapVecComparison,vec,30,,,522048419.0,ns,69
HeapVecComparison,vec,30,,,530457055.0,ns,70
HeapVecComparison,vec,30,,,537820065.0,ns,71
HeapVecComparison,vec,30,,,545334092.0,ns,72
HeapVecComparison,vec,30,,,552949246.0,ns,73
HeapVecComparison,vec,30,,,565386958.0,ns,74
HeapVecComparison,vec,30,,,570410771.0,ns,75
HeapVecComparison,vec,30,,,583945260.0,ns,76
HeapVecComparison,vec,30,,,589872139.0,ns,77
HeapVecComparison,vec,30,,,594051959.0,ns,78
HeapVecComparison,vec,30,,,598987838.0,ns,79
HeapVecComparison,vec,30,,,608243610.0,ns,80
HeapVecComparison,vec,30,,,614129712.0,ns,81
HeapVecComparison,vec,30,,,623115848.0,ns,82
HeapVecComparison,vec,30,,,631332202.0,ns,83
HeapVecComparison,vec,30,,,642240955.0,ns,84
HeapVecComparison,vec,30,,,645016582.0,ns,85
HeapVecComparison,vec,30,,,651746076.0,ns,86
HeapVecComparison,vec,30,,,659370356.0,ns,87
HeapVecComparison,vec,30,,,666605751.0,ns,88
HeapVecComparison,vec,30,,,673860699.0,ns,89
HeapVecComparison,vec,30,,,681599006.0,ns,90
HeapVecComparison,vec,30,,,689727793.0,ns,91
HeapVecComparison,vec,30,,,696664246.0,ns,92
HeapVecComparison,vec,30,,,704973872.0,ns,93
HeapVecComparison,vec,30,,,711231453.0,ns,94
HeapVecComparison,vec,30,,,719122954.0,ns,95
HeapVecComparison,vec,30,,,727027843.0,ns,96
HeapVecComparison,vec,30,,,735411230.0,ns,97
HeapVecComparison,vec,30,,,742682500.0,ns,98
HeapVecComparison,vec,30,,,749315972.0,ns,99
HeapVecComparison,vec,30,,,757517467.0,ns,100
