group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,vec,10,,,1119620.0,ns,1
HeapVecComparison,vec,10,,,2273255.0,ns,2
HeapVecComparison,vec,10,,,3373940.0,ns,3
HeapVecComparison,vec,10,,,4540557.0,ns,4
HeapVecComparison,vec,10,,,5626695.0,ns,5
HeapVecComparison,vec,10,,,6744021.0,ns,6
HeapVecComparison,vec,10,,,7867177.0,ns,7
HeapVecComparison,vec,10,,,8963836.0,ns,8
HeapVecComparison,vec,10,,,10087082.0,ns,9
HeapVecComparison,vec,10,,,11244071.0,ns,10
HeapVecComparison,vec,10,,,12324699.0,ns,11
HeapVecComparison,vec,10,,,13450562.0,ns,12
HeapVecComparison,vec,10,,,14570743.0,ns,13
HeapVecComparison,vec,10,,,15693759.0,ns,14
HeapVecComparison,vec,10,,,16838266.0,ns,15
HeapVecComparison,vec,10,,,17929523.0,ns,16
HeapVecComparison,vec,10,,,19045688.0,ns,17
HeapVecComparison,vec,10,,,20178552.0,ns,18
HeapVecComparison,vec,10,,,21341694.0,ns,19
HeapVecComparison,vec,10,,,22466755.0,ns,20
HeapVecComparison,vec,10,,,23535499.0,ns,21
HeapVecComparison,vec,10,,,24665419.0,ns,22
HeapVecComparison,vec,10,,,25782044.0,ns,23
HeapVecComparison,vec,10,,,26932773.0,ns,24
HeapVecComparison,vec,10,,,28014721.0,ns,25
HeapVecComparison,vec,10,,,29142257.0,ns,26
HeapVecComparison,vec,10,,,30265374.0,ns,27
HeapVecComparison,vec,10,,,31369856.0,ns,28
HeapVecComparison,vec,10,,,32504224.0,ns,29
HeapVecComparison,vec,10,,,33627320.0,ns,30
HeapVecComparison,vec,10,,,34748603.0,ns,31
HeapVecComparison,vec,10,,,36027333.0,ns,32
HeapVecComparison,vec,10,,,37043579.0,ns,33
HeapVecComparison,vec,10,,,38157868.0,ns,34
HeapVecComparison,vec,10,,,39272019.0,ns,35
HeapVecComparison,vec,10,,,40381361.0,ns,36
HeapVecComparison,vec,10,,,41499257.0,ns,37
HeapVecComparison,vec,10,,,42624988.0,ns,38
HeapVecComparison,vec,10,,,43772581.0,ns,39
HeapVecComparison,vec,10,,,44866884.0,ns,40
HeapVecComparison,vec,10,,,45952581.0,ns,41
HeapVecComparison,vec,10,,,47098771.0,ns,42
HeapVecComparison,vec,10,,,48254119.0,ns,43
HeapVecComparison,vec,10,,,49343521.0,ns,44
HeapVecComparison,vec,10,,,50495011.0,ns,45
HeapVecComparison,vec,10,,,51585288.0,ns,46
HeapVecComparison,vec,10,,,52769237.0,ns,47
HeapVecComparison,vec,10,,,53793209.0,ns,48
HeapVecComparison,vec,10,,,55024739.0,ns,49
HeapVecComparison,vec,10,,,56075700.0,ns,50
HeapVecComparison,vec,10,,,57200290.0,ns,51
HeapVecComparison,vec,10,,,58304492.0,ns,52
HeapVecComparison,vec,10,,,59582638.0,ns,53
HeapVecComparison,vec,10,,,60604105.0,ns,54
HeapVecComparison,vec,10,,,61818072.0,ns,55
HeapVecComparison,vec,10,,,62858233.0,ns,56
HeapVecComparison,vec,10,,,63959509.0,ns,57
HeapVecComparison,vec,10,,,65031501.0,ns,58
HeapVecComparison,vec,10,,,66191245.0,ns,59
HeapVecComparison,vec,10,,,67328429.0,ns,60
HeapVecComparison,vec,10,,,68411571.0,ns,61
HeapVecComparison,vec,10,,,69560456.0,ns,62
HeapVecComparison,vec,10,,,70646942.0,ns,63
HeapVecComparison,vec,10,,,72284566.0,ns,64
HeapVecComparison,vec,10,,,73570698.0,ns,65
HeapVecComparison,vec,10,,,77836179.0,ns,66
HeapVecComparison,vec,10,,,76556920.0,ns,67
HeapVecComparison,vec,10,,,77838133.0,ns,68
HeapVecComparison,vec,10,,,78779059.0,ns,69
HeapVecComparison,vec,10,,,79563260.0,ns,70
HeapVecComparison,vec,10,,,80355596.0,ns,71
HeapVecComparison,vec,10,,,80960992.0,ns,72
HeapVecComparison,vec,10,,,81973200.0,ns,73
HeapVecComparison,vec,10,,,82996360.0,ns,74
HeapVecComparison,vec,10,,,84102284.0,ns,75
HeapVecComparison,vec,10,,,85362499.0,ns,76
HeapVecComparison,vec,10,,,86353807.0,ns,77
HeapVecComparison,vec,10,,,87445525.0,ns,78
HeapVecComparison,vec,10,,,88613657.0,ns,79
HeapVecComparison,vec,10,,,89967016.0,ns,80
HeapVecComparison,vec,10,,,90879818.0,ns,81
HeapVecComparison,vec,10,,,92059351.0,ns,82
HeapVecComparison,vec,10,,,93145840.0,ns,83
HeapVecComparison,vec,10,,,94200116.0,ns,84
HeapVecComparison,vec,10,,,95386642.0,ns,85
HeapVecComparison,vec,10,,,96542230.0,ns,86
HeapVecComparison,vec,10,,,97638146.0,ns,87
HeapVecComparison,vec,10,,,98769798.0,ns,88
HeapVecComparison,vec,10,,,99870713.0,ns,89
HeapVecComparison,vec,10,,,101067359.0,ns,90
HeapVecComparison,vec,10,,,102063487.0,ns,91
HeapVecComparison,vec,10,,,103290288.0,ns,92
HeapVecComparison,vec,10,,,104292748.0,ns,93
HeapVecComparison,vec,10,,,105380360.0,ns,94
HeapVecComparison,vec,10,,,106621377.0,ns,95
HeapVecComparison,vec,10,,,107666999.0,ns,96
HeapVecComparison,vec,10,,,108762894.0,ns,97
HeapVecComparison,vec,10,,,109893956.0,ns,98
HeapVecComparison,vec,10,,,111095149.0,ns,99
HeapVecComparison,vec,10,,,113222289.0,ns,100
