group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,heap,37,,,25271907.0,ns,1
HeapVecComparison,heap,37,,,50256303.0,ns,2
HeapVecComparison,heap,37,,,75256050.0,ns,3
HeapVecComparison,heap,37,,,100576548.0,ns,4
HeapVecComparison,heap,37,,,125506292.0,ns,5
HeapVecComparison,heap,37,,,150604243.0,ns,6
HeapVecComparison,heap,37,,,176011113.0,ns,7
HeapVecComparison,heap,37,,,201533518.0,ns,8
HeapVecComparison,heap,37,,,226445501.0,ns,9
HeapVecComparison,heap,37,,,251035609.0,ns,10
HeapVecComparison,heap,37,,,276325508.0,ns,11
HeapVecComparison,heap,37,,,301340483.0,ns,12
HeapVecComparison,heap,37,,,326614344.0,ns,13
HeapVecComparison,heap,37,,,351983732.0,ns,14
HeapVecComparison,heap,37,,,380619100.0,ns,15
HeapVecComparison,heap,37,,,401583985.0,ns,16
HeapVecComparison,heap,37,,,426344985.0,ns,17
HeapVecComparison,heap,37,,,450759052.0,ns,18
HeapVecComparison,heap,37,,,475657568.0,ns,19
HeapVecComparison,heap,37,,,501218776.0,ns,20
HeapVecComparison,heap,37,,,526413909.0,ns,21
HeapVecComparison,heap,37,,,550740874.0,ns,22
HeapVecComparison,heap,37,,,574846132.0,ns,23
HeapVecComparison,heap,37,,,600265054.0,ns,24
HeapVecComparison,heap,37,,,625073090.0,ns,25
HeapVecComparison,heap,37,,,649936231.0,ns,26
HeapVecComparison,heap,37,,,675098932.0,ns,27
HeapVecComparison,heap,37,,,700549264.0,ns,28
HeapVecComparison,heap,37,,,724698134.0,ns,29
HeapVecComparison,heap,37,,,750092329.0,ns,30
HeapVecComparison,heap,37,,,775470205.0,ns,31
HeapVecComparison,heap,37,,,800540764.0,ns,32
HeapVecComparison,heap,37,,,825695701.0,ns,33
HeapVecComparison,heap,37,,,850535576.0,ns,34
HeapVecComparison,heap,37,,,875762790.0,ns,35
HeapVecComparison,heap,37,,,902145921.0,ns,36
HeapVecComparison,heap,37,,,927943995.0,ns,37
HeapVecComparison,heap,37,,,953132444.0,ns,38
HeapVecComparison,heap,37,,,989395469.0,ns,39
HeapVecComparison,heap,37,,,1009831264.0,ns,40
HeapVecComparison,heap,37,,,1033689978.0,ns,41
HeapVecComparison,heap,37,,,1057473234.0,ns,42
HeapVecComparison,heap,37,,,1083260055.0,ns,43
HeapVecComparison,heap,37,,,1101859015.0,ns,44
HeapVecComparison,heap,37,,,1125765971.0,ns,45
HeapVecComparison,heap,37,,,1152608675.0,ns,46
HeapVecComparison,heap,37,,,1178521603.0,ns,47
HeapVecComparison,heap,37,,,1202269210.0,ns,48
HeapVecComparison,heap,37,,,1231824953.0,ns,49
HeapVecComparison,heap,37,,,1260696312.0,ns,50
HeapVecComparison,heap,37,,,1282638482.0,ns,51
HeapVecComparison,heap,37,,,1309908998.0,ns,52
HeapVecComparison,heap,37,,,1334662362.0,ns,53
HeapVecComparison,heap,37,,,1360403559.0,ns,54
HeapVecComparison,heap,37,,,1383561340.0,ns,55
HeapVecComparison,heap,37,,,1405505924.0,ns,56
HeapVecComparison,heap,37,,,1426004567.0,ns,57
HeapVecComparison,heap,37,,,1454414611.0,ns,58
HeapVecComparison,heap,37,,,1476790855.0,ns,59
HeapVecComparison,heap,37,,,1501799419.0,ns,60
HeapVecComparison,heap,37,,,1538901556.0,ns,61
HeapVecComparison,heap,37,,,1565684247.0,ns,62
HeapVecComparison,heap,37,,,1586745054.0,ns,63
HeapVecComparison,heap,37,,,1614660910.0,ns,64
HeapVecComparison,heap,37,,,1640253699.0,ns,65
HeapVecComparison,heap,37,,,1658350215.0,ns,66
HeapVecComparison,heap,37,,,1688133395.0,ns,67
HeapVecComparison,heap,37,,,1715375827.0,ns,68
HeapVecComparison,heap,37,,,1739186472.0,ns,69
HeapVecComparison,heap,37,,,1765554666.0,ns,70
HeapVecComparison,heap,37,,,1794237170.0,ns,71
HeapVecComparison,heap,37,,,1815853841.0,ns,72
HeapVecComparison,heap,37,,,1840645255.0,ns,73
HeapVecComparison,heap,37,,,1865378072.0,ns,74
HeapVecComparison,heap,37,,,1888583310.0,ns,75
HeapVecComparison,heap,37,,,1917874186.0,ns,76
HeapVecComparison,heap,37,,,1934440392.0,ns,77
HeapVecComparison,heap,37,,,1960184025.0,ns,78
HeapVecComparison,heap,37,,,1994766104.0,ns,79
HeapVecComparison,heap,37,,,2014391791.0,ns,80
HeapVecComparison,heap,37,,,2042211555.0,ns,81
HeapVecComparison,heap,37,,,2059427852.0,ns,82
HeapVecComparison,heap,37,,,2089405255.0,ns,83
HeapVecComparison,heap,37,,,2124149410.0,ns,84
HeapVecComparison,heap,37,,,2147952292.0,ns,85
HeapVecComparison,heap,37,,,2169855879.0,ns,86
HeapVecComparison,heap,37,,,2192513520.0,ns,87
HeapVecComparison,heap,37,,,2214695622.0,ns,88
HeapVecComparison,heap,37,,,2242527862.0,ns,89
HeapVecComparison,heap,37,,,2269313077.0,ns,90
HeapVecComparison,heap,37,,,2289256468.0,ns,91
HeapVecComparison,heap,37,,,2315208421.0,ns,92
HeapVecComparison,heap,37,,,2340979854.0,ns,93
HeapVecComparison,heap,37,,,2374953203.0,ns,94
HeapVecComparison,heap,37,,,2394068361.0,ns,95
HeapVecComparison,heap,37,,,2413852613.0,ns,96
HeapVecComparison,heap,37,,,2439691975.0,ns,97
HeapVecComparison,heap,37,,,2468457154.0,ns,98
HeapVecComparison,heap,37,,,2495422637.0,ns,99
HeapVecComparison,heap,37,,,2518397034.0,ns,100
