group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,vec,28,,,6546431.0,ns,1
HeapVecComparison,vec,28,,,13090877.0,ns,2
HeapVecComparison,vec,28,,,19629532.0,ns,3
HeapVecComparison,vec,28,,,25965218.0,ns,4
HeapVecComparison,vec,28,,,32396952.0,ns,5
HeapVecComparison,vec,28,,,38943452.0,ns,6
HeapVecComparison,vec,28,,,45531983.0,ns,7
HeapVecComparison,vec,28,,,51978594.0,ns,8
HeapVecComparison,vec,28,,,58339106.0,ns,9
HeapVecComparison,vec,28,,,64819372.0,ns,10
HeapVecComparison,vec,28,,,71313605.0,ns,11
HeapVecComparison,vec,28,,,77781537.0,ns,12
HeapVecComparison,vec,28,,,84355029.0,ns,13
HeapVecComparison,vec,28,,,90731890.0,ns,14
HeapVecComparison,vec,28,,,97357689.0,ns,15
HeapVecComparison,vec,28,,,103756293.0,ns,16
HeapVecComparison,vec,28,,,110217833.0,ns,17
HeapVecComparison,vec,28,,,116743575.0,ns,18
HeapVecComparison,vec,28,,,123401043.0,ns,19
HeapVecComparison,vec,28,,,129688809.0,ns,20
HeapVecComparison,vec,28,,,136281816.0,ns,21
HeapVecComparison,vec,28,,,142676661.0,ns,22
HeapVecComparison,vec,28,,,149233692.0,ns,23
HeapVecComparison,vec,28,,,155597671.0,ns,24
HeapVecComparison,vec,28,,,162102761.0,ns,25
HeapVecComparison,vec,28,,,171662185.0,ns,26
HeapVecComparison,vec,28,,,177470370.0,ns,27
HeapVecComparison,vec,28,,,181564981.0,ns,28
HeapVecComparison,vec,28,,,188121229.0,ns,29
HeapVecComparison,vec,28,,,194558165.0,ns,30
HeapVecComparison,vec,28,,,201108651.0,ns,31
HeapVecComparison,vec,28,,,207482830.0,ns,32
HeapVecComparison,vec,28,,,213963065.0,ns,33
HeapVecComparison,vec,28,,,220561433.0,ns,34
HeapVecComparison,vec,28,,,226946901.0,ns,35
HeapVecComparison,vec,28,,,233457834.0,ns,36
HeapVecComparison,vec,28,,,240682187.0,ns,37
HeapVecComparison,vec,28,,,246372842.0,ns,38
HeapVecComparison,vec,28,,,252820677.0,ns,39
HeapVecComparison,vec,28,,,259400950.0,ns,40
HeapVecComparison,vec,28,,,265923836.0,ns,41
HeapVecComparison,vec,28,,,272386850.0,ns,42
HeapVecComparison,vec,28,,,278930234.0,ns,43
HeapVecComparison,vec,28,,,285389321.0,ns,44
HeapVecComparison,vec,28,,,295179616.0,ns,45
HeapVecComparison,vec,28,,,298335526.0,ns,46
HeapVecComparison,vec,28,,,304918845.0,ns,47
HeapVecComparison,vec,28,,,311238099.0,ns,48
HeapVecComparison,vec,28,,,317814335.0,ns,49
HeapVecComparison,vec,28,,,324467306.0,ns,50
HeapVecComparison,vec,28,,,330627922.0,ns,51
HeapVecComparison,vec,28,,,337167188.0,ns,52
HeapVecComparison,vec,28,,,343867178.0,ns,53
HeapVecComparison,vec,28,,,352549173.0,ns,54
HeapVecComparison,vec,28,,,358833242.0,ns,55
HeapVecComparison,vec,28,,,363273180.0,ns,56
HeapVecComparison,vec,28,,,369540648.0,ns,57
HeapVecComparison,vec,28,,,376041222.0,ns,58
HeapVecComparison,vec,28,,,383011155.0,ns,59
HeapVecComparison,vec,28,,,389048412.0,ns,60
HeapVecComparison,vec,28,,,395611111.0,ns,61
HeapVecComparison,vec,28,,,402007571.0,ns,62
HeapVecComparison,vec,28,,,408719281.0,ns,63
HeapVecComparison,vec,28,,,415069003.0,ns,64
HeapVecComparison,vec,28,,,421538417.0,ns,65
HeapVecComparison,vec,28,,,428045645.0,ns,66
HeapVecComparison,vec,28,,,434409132.0,ns,67
HeapVecComparison,vec,28,,,441292804.0,ns,68
HeapVecComparison,vec,28,,,447402375.0,ns,69
HeapVecComparison,vec,28,,,453920352.0,ns,70
HeapVecComparison,vec,28,,,460438689.0,ns,71
HeapVecComparison,vec,28,,,466777961.0,ns,72
HeapVecComparison,vec,28,,,473457071.0,ns,73
HeapVecComparison,vec,28,,,480037273.0,ns,74
HeapVecComparison,vec,28,,,486363630.0,ns,75
HeapVecComparison,vec,28,,,498394649.0,ns,76
HeapVecComparison,vec,28,,,499380919.0,ns,77
HeapVecComparison,vec,28,,,505861848.0,ns,78
HeapVecComparison,vec,28,,,512308650.0,ns,79
HeapVecComparison,vec,28,,,518822669.0,ns,80
HeapVecComparison,vec,28,,,525448379.0,ns,81
HeapVecComparison,vec,28,,,531865245.0,ns,82
HeapVecComparison,vec,28,,,543405313.0,ns,83
HeapVecComparison,vec,28,,,545037394.0,ns,84
HeapVecComparison,vec,28,,,551180989.0,ns,85
HeapVecComparison,vec,28,,,557868484.0,ns,86
HeapVecComparison,vec,28,,,564066861.0,ns,87
HeapVecComparison,vec,28,,,570764214.0,ns,88
HeapVecComparison,vec,28,,,577081625.0,ns,89
HeapVecComparison,vec,28,,,583752639.0,ns,90
HeapVecComparison,vec,28,,,590100588.0,ns,91
HeapVecComparison,vec,28,,,597052899.0,ns,92
HeapVecComparison,vec,28,,,603164513.0,ns,93
HeapVecComparison,vec,28,,,609711986.0,ns,94
HeapVecComparison,vec,28,,,616231816.0,ns,95
HeapVecComparison,vec,28,,,622523258.0,ns,96
HeapVecComparison,vec,28,,,629011487.0,ns,97
HeapVecComparison,vec,28,,,635588146.0,ns,98
HeapVecComparison,vec,28,,,642267715.0,ns,99
HeapVecComparison,vec,28,,,648506839.0,ns,100
