group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,heap,23,,,13676074.0,ns,1
HeapVecComparison,heap,23,,,27256309.0,ns,2
HeapVecComparison,heap,23,,,40731155.0,ns,3
HeapVecComparison,heap,23,,,54221111.0,ns,4
HeapVecComparison,heap,23,,,67718642.0,ns,5
HeapVecComparison,heap,23,,,81282404.0,ns,6
HeapVecComparison,heap,23,,,94873008.0,ns,7
HeapVecComparison,heap,23,,,108419300.0,ns,8
HeapVecComparison,heap,23,,,122144156.0,ns,9
HeapVecComparison,heap,23,,,135642896.0,ns,10
HeapVecComparison,heap,23,,,149241086.0,ns,11
HeapVecComparison,heap,23,,,162952015.0,ns,12
HeapVecComparison,heap,23,,,176443354.0,ns,13
HeapVecComparison,heap,23,,,190115289.0,ns,14
HeapVecComparison,heap,23,,,203582032.0,ns,15
HeapVecComparison,heap,23,,,217095631.0,ns,16
HeapVecComparison,heap,23,,,231215308.0,ns,17
HeapVecComparison,heap,23,,,244574076.0,ns,18
HeapVecComparison,heap,23,,,258146086.0,ns,19
HeapVecComparison,heap,23,,,271811029.0,ns,20
HeapVecComparison,heap,23,,,286143025.0,ns,21
HeapVecComparison,heap,23,,,301112175.0,ns,22
HeapVecComparison,heap,23,,,311066198.0,ns,23
HeapVecComparison,heap,23,,,324768199.0,ns,24
HeapVecComparison,heap,23,,,338879381.0,ns,25
HeapVecComparison,heap,23,,,352487127.0,ns,26
HeapVecComparison,heap,23,,,366393894.0,ns,27
HeapVecComparison,heap,23,,,379944594.0,ns,28
HeapVecComparison,heap,23,,,393593186.0,ns,29
HeapVecComparison,heap,23,,,406537488.0,ns,30
HeapVecComparison,heap,23,,,420203443.0,ns,31
HeapVecComparison,heap,23,,,433856624.0,ns,32
HeapVecComparison,heap,23,,,447451387.0,ns,33
HeapVecComparison,heap,23,,,461661734.0,ns,34
HeapVecComparison,heap,23,,,475868874.0,ns,35
HeapVecComparison,heap,23,,,489252200.0,ns,36
HeapVecComparison,heap,23,,,502472238.0,ns,37
HeapVecComparison,heap,23,,,515522879.0,ns,38
HeapVecComparison,heap,23,,,527570478.0,ns,39
HeapVecComparison,heap,23,,,540278488.0,ns,40
HeapVecComparison,heap,23,,,553819509.0,ns,41
HeapVecComparison,heap,23,,,568498825.0,ns,42
HeapVecComparison,heap,23,,,582342163.0,ns,43
HeapVecComparison,heap,23,,,595791723.0,ns,44
HeapVecComparison,heap,23,,,609777588.0,ns,45
HeapVecComparison,heap,23,,,621995919.0,ns,46
HeapVecComparison,heap,23,,,636303136.0,ns,47
HeapVecComparison,heap,23,,,648482713.0,ns,48
HeapVecComparison,heap,23,,,662388769.0,ns,49
HeapVecComparison,heap,23,,,674805863.0,ns,50
HeapVecComparison,heap,23,,,689006360.0,ns,51
HeapVecComparison,heap,23,,,703114806.0,ns,52
HeapVecComparison,heap,23,,,726793283.0,ns,53
HeapVecComparison,heap,23,,,730393167.0,ns,54
HeapVecComparison,heap,23,,,745523058.0,ns,55
HeapVecComparison,heap,23,,,763171765.0,ns,56
HeapVecComparison,heap,23,,,771822582.0,ns,57
HeapVecComparison,heap,23,,,788570098.0,ns,58
HeapVecComparison,heap,23,,,800762269.0,ns,59
HeapVecComparison,heap,23,,,812693030.0,ns,60
HeapVecComparison,heap,23,,,825831346.0,ns,61
HeapVecComparison,heap,23,,,841276308.0,ns,62
HeapVecComparison,heap,23,,,854456012.0,ns,63
HeapVecComparison,heap,23,,,867893918.0,ns,64
HeapVecComparison,heap,23,,,881804033.0,ns,65
HeapVecComparison,heap,23,,,895211753.0,ns,66
HeapVecComparison,heap,23,,,908373522.0,ns,67
HeapVecComparison,heap,23,,,923331122.0,ns,68
HeapVecComparison,heap,23,,,937231246.0,ns,69
HeapVecComparison,heap,23,,,950431698.0,ns,70
HeapVecComparison,heap,23,,,964026250.0,ns,71
HeapVecComparison,heap,23,,,977215421.0,ns,72
HeapVecComparison,heap,23,,,990722628.0,ns,73
HeapVecComparison,heap,23,,,1004262297.0,ns,74
HeapVecComparison,heap,23,,,1017417104.0,ns,75
HeapVecComparison,heap,23,,,1032497322.0,ns,76
HeapVecComparison,heap,23,,,1059305160.0,ns,77
HeapVecComparison,heap,23,,,1060294858.0,ns,78
HeapVecComparison,heap,23,,,1072707791.0,ns,79
HeapVecComparison,heap,23,,,1091668879.0,ns,80
HeapVecComparison,heap,23,,,1100452677.0,ns,81
HeapVecComparison,heap,23,,,1113203676.0,ns,82
HeapVecComparison,heap,23,,,1126355959.0,ns,83
HeapVecComparison,heap,23,,,1139930762.0,ns,84
HeapVecComparison,heap,23,,,1156344051.0,ns,85
HeapVecComparison,heap,23,,,1166534789.0,ns,86
HeapVecComparison,heap,23,,,1181094349.0,ns,87
HeapVecComparison,heap,23,,,1195023999.0,ns,88
HeapVecComparison,heap,23,,,1206668533.0,ns,89
HeapVecComparison,heap,23,,,1218325670.0,ns,90
HeapVecComparison,heap,23,,,1233102520.0,ns,91
HeapVecComparison,heap,23,,,1244273324.0,ns,92
HeapVecComparison,heap,23,,,1257315630.0,ns,93
HeapVecComparison,heap,23,,,1273711257.0,ns,94
HeapVecComparison,heap,23,,,1289132103.0,ns,95
HeapVecComparison,heap,23,,,1304833938.0,ns,96
HeapVecComparison,heap,23,,,1317675125.0,ns,97
HeapVecComparison,heap,23,,,1331231245.0,ns,98
HeapVecComparison,heap,23,,,1344552194.0,ns,99
HeapVecComparison,heap,23,,,1355939174.0,ns,100
