group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,vec,7,,,1480958.0,ns,2
HeapVecComparison,vec,7,,,2963529.0,ns,4
HeapVecComparison,vec,7,,,4437784.0,ns,6
HeapVecComparison,vec,7,,,5889899.0,ns,8
HeapVecComparison,vec,7,,,7353424.0,ns,10
HeapVecComparison,vec,7,,,8811259.0,ns,12
HeapVecComparison,vec,7,,,10273541.0,ns,14
HeapVecComparison,vec,7,,,11745734.0,ns,16
HeapVecComparison,vec,7,,,13202717.0,ns,18
HeapVecComparison,vec,7,,,14690768.0,ns,20
HeapVecComparison,vec,7,,,16141429.0,ns,22
HeapVecComparison,vec,7,,,17603231.0,ns,24
HeapVecComparison,vec,7,,,19069752.0,ns,26
HeapVecComparison,vec,7,,,20551993.0,ns,28
HeapVecComparison,vec,7,,,22068397.0,ns,30
HeapVecComparison,vec,7,,,23523788.0,ns,32
HeapVecComparison,vec,7,,,24975861.0,ns,34
HeapVecComparison,vec,7,,,26432714.0,ns,36
HeapVecComparison,vec,7,,,27847168.0,ns,38
HeapVecComparison,vec,7,,,29299632.0,ns,40
HeapVecComparison,vec,7,,,30791180.0,ns,42
HeapVecComparison,vec,7,,,32232984.0,ns,44
HeapVecComparison,vec,7,,,33736446.0,ns,46
HeapVecComparison,vec,7,,,35235757.0,ns,48
HeapVecComparison,vec,7,,,36656592.0,ns,50
HeapVecComparison,vec,7,,,38067450.0,ns,52
HeapVecComparison,vec,7,,,39593881.0,ns,54
HeapVecComparison,vec,7,,,41090351.0,ns,56
HeapVecComparison,vec,7,,,42560468.0,ns,58
HeapVecComparison,vec,7,,,44023682.0,ns,60
HeapVecComparison,vec,7,,,45428157.0,ns,62
HeapVecComparison,vec,7,,,46950783.0,ns,64
HeapVecComparison,vec,7,,,48430148.0,ns,66
HeapVecComparison,vec,7,,,49875489.0,ns,68
HeapVecComparison,vec,7,,,51327484.0,ns,70
HeapVecComparison,vec,7,,,52788824.0,ns,72
HeapVecComparison,vec,7,,,54261648.0,ns,74
HeapVecComparison,vec,7,,,55751111.0,ns,76
HeapVecComparison,vec,7,,,57184279.0,ns,78
HeapVecComparison,vec,7,,,58771016.0,ns,80
HeapVecComparison,vec,7,,,60151696.0,ns,82
HeapVecComparison,vec,7,,,61645519.0,ns,84
HeapVecComparison,vec,7,,,63055865.0,ns,86
HeapVecComparison,vec,7,,,64537834.0,ns,88
HeapVecComparison,vec,7,,,65942869.0,ns,90
HeapVecComparison,vec,7,,,67429729.0,ns,92
HeapVecComparison,vec,7,,,68947194.0,ns,94
HeapVecComparison,vec,7,,,70419207.0,ns,96
HeapVecComparison,vec,7,,,71876120.0,ns,98
HeapVecComparison,vec,7,,,73413995.0,ns,100
HeapVecComparison,vec,7,,,74810233.0,ns,102
HeapVecComparison,vec,7,,,76247901.0,ns,104
HeapVecComparison,vec,7,,,77786105.0,ns,106
HeapVecComparison,vec,7,,,79225085.0,ns,108
HeapVecComparison,vec,7,,,80775824.0,ns,110
HeapVecComparison,vec,7,,,82107433.0,ns,112
HeapVecComparison,vec,7,,,83563454.0,ns,114
HeapVecComparison,vec,7,,,85017050.0,ns,116
HeapVecComparison,vec,7,,,86558482.0,ns,118
HeapVecComparison,vec,7,,,87984918.0,ns,120
HeapVecComparison,vec,7,,,89461237.0,ns,122
HeapVecComparison,vec,7,,,90929561.0,ns,124
HeapVecComparison,vec,7,,,92384571.0,ns,126
HeapVecComparison,vec,7,,,93753408.0,ns,128
HeapVecComparison,vec,7,,,95321550.0,ns,130
HeapVecComparison,vec,7,,,96957920.0,ns,132
HeapVecComparison,vec,7,,,98245805.0,ns,134
HeapVecComparison,vec,7,,,99711145.0,ns,136
HeapVecComparison,vec,7,,,101142950.0,ns,138
HeapVecComparison,vec,7,,,102668862.0,ns,140
HeapVecComparison,vec,7,,,104147747.0,ns,142
HeapVecComparison,vec,7,,,105552352.0,ns,144
HeapVecComparison,vec,7,,,107060772.0,ns,146
HeapVecComparison,vec,7,,,108585652.0,ns,148
HeapVecComparison,vec,7,,,110096545.0,ns,150
HeapVecComparison,vec,7,,,113571334.0,ns,152
HeapVecComparison,vec,7,,,114355415.0,ns,154
HeapVecComparison,vec,7,,,114727814.0,ns,156
HeapVecComparison,vec,7,,,115974972.0,ns,158
HeapVecComparison,vec,7,,,117373015.0,ns,160
HeapVecComparison,vec,7,,,118794692.0,ns,162
HeapVecComparison,vec,7,,,120253800.0,ns,164
HeapVecComparison,vec,7,,,121806652.0,ns,166
HeapVecComparison,vec,7,,,123380465.0,ns,168
HeapVecComparison,vec,7,,,124738873.0,ns,170
HeapVecComparison,vec,7,,,126081331.0,ns,172
HeapVecComparison,vec,7,,,127610119.0,ns,174
HeapVecComparison,vec,7,,,129103491.0,ns,176
HeapVecComparison,vec,7,,,130493728.0,ns,178
HeapVecComparison,vec,7,,,131998781.0,ns,180
HeapVecComparison,vec,7,,,133449022.0,ns,182
HeapVecComparison,vec,7,,,135086764.0,ns,184
HeapVecComparison,vec,7,,,136345175.0,ns,186
HeapVecComparison,vec,7,,,137777421.0,ns,188
HeapVecComparison,vec,7,,,139269361.0,ns,190
HeapVecComparison,vec,7,,,140776597.0,ns,192
HeapVecComparison,vec,7,,,142238850.0,ns,194
HeapVecComparison,vec,7,,,143672871.0,ns,196
HeapVecComparison,vec,7,,,145370976.0,ns,198
HeapVecComparison,vec,7,,,146678969.0,ns,200
