group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,heap,26,,,16494451.0,ns,1
HeapVecComparison,heap,26,,,32664875.0,ns,2
HeapVecComparison,heap,26,,,48903477.0,ns,3
HeapVecComparison,heap,26,,,65285396.0,ns,4
HeapVecComparison,heap,26,,,81707141.0,ns,5
HeapVecComparison,heap,26,,,97887805.0,ns,6
HeapVecComparison,heap,26,,,114296173.0,ns,7
HeapVecComparison,heap,26,,,130514898.0,ns,8
HeapVecComparison,heap,26,,,147249530.0,ns,9
HeapVecComparison,heap,26,,,163378676.0,ns,10
HeapVecComparison,heap,26,,,179494186.0,ns,11
HeapVecComparison,heap,26,,,195932753.0,ns,12
HeapVecComparison,heap,26,,,212389003.0,ns,13
HeapVecComparison,heap,26,,,228626040.0,ns,14
HeapVecComparison,heap,26,,,244899106.0,ns,15
HeapVecComparison,heap,26,,,260476197.0,ns,16
HeapVecComparison,heap,26,,,277345523.0,ns,17
HeapVecComparison,heap,26,,,293674662.0,ns,18
HeapVecComparison,heap,26,,,310174384.0,ns,19
HeapVecComparison,heap,26,,,325824662.0,ns,20
HeapVecComparison,heap,26,,,341978173.0,ns,21
HeapVecComparison,heap,26,,,358793447.0,ns,22
HeapVecComparison,heap,26,,,374728128.0,ns,23
HeapVecComparison,heap,26,,,391317958.0,ns,24
HeapVecComparison,heap,26,,,406632766.0,ns,25
HeapVecComparison,heap,26,,,422835400.0,ns,26
HeapVecComparison,heap,26,,,438572291.0,ns,27
HeapVecComparison,heap,26,,,454924816.0,ns,28
HeapVecComparison,heap,26,,,471909898.0,ns,29
HeapVecComparison,heap,26,,,488471816.0,ns,30
HeapVecComparison,heap,26,,,504627401.0,ns,31
HeapVecComparison,heap,26,,,526196271.0,ns,32
HeapVecComparison,heap,26,,,537055622.0,ns,33
HeapVecComparison,heap,26,,,553063902.0,ns,34
HeapVecComparison,heap,26,,,569664691.0,ns,35
HeapVecComparison,heap,26,,,585514845.0,ns,36
HeapVecComparison,heap,26,,,601168799.0,ns,37
HeapVecComparison,heap,26,,,620411325.0,ns,38
HeapVecComparison,heap,26,,,634148175.0,ns,39
HeapVecComparison,heap,26,,,650314921.0,ns,40
HeapVecComparison,heap,26,,,666157780.0,ns,41
HeapVecComparison,heap,26,,,681932821.0,ns,42
HeapVecComparison,heap,26,,,698714541.0,ns,43
HeapVecComparison,heap,26,,,714617844.0,ns,44
HeapVecComparison,heap,26,,,730172312.0,ns,45
HeapVecComparison,heap,26,,,747467155.0,ns,46
HeapVecComparison,heap,26,,,764441696.0,ns,47
HeapVecComparison,heap,26,,,779009925.0,ns,48
HeapVecComparison,heap,26,,,795058640.0,ns,49
HeapVecComparison,heap,26,,,811510863.0,ns,50
HeapVecComparison,heap,26,,,826732456.0,ns,51
HeapVecComparison,heap,26,,,844596175.0,ns,52
HeapVecComparison,heap,26,,,860730141.0,ns,53
HeapVecComparison,heap,26,,,875938559.0,ns,54
HeapVecComparison,heap,26,,,892357219.0,ns,55
HeapVecComparison,heap,26,,,908781438.0,ns,56
HeapVecComparison,heap,26,,,926513933.0,ns,57
HeapVecComparison,heap,26,,,941995042.0,ns,58
HeapVecComparison,heap,26,,,957349145.0,ns,59
HeapVecComparison,heap,26,,,974665859.0,ns,60
HeapVecComparison,heap,26,,,991849862.0,ns,61
HeapVecComparison,heap,26,,,1006434923.0,ns,62
HeapVecComparison,heap,26,,,1038567930.0,ns,63
HeapVecComparison,heap,26,,,1040502278.0,ns,64
HeapVecComparison,heap,26,,,1053726986.0,ns,65
HeapVecComparison,heap,26,,,1074804294.0,ns,66
HeapVecComparison,heap,26,,,1094336193.0,ns,67
HeapVecComparison,heap,26,,,1111091284.0,ns,68
HeapVecComparison,heap,26,,,1122905294.0,ns,69
HeapVecComparison,heap,26,,,1140189268.0,ns,70
HeapVecComparison,heap,26,,,1154332207.0,ns,71
HeapVecComparison,heap,26,,,1171969473.0,ns,72
HeapVecComparison,heap,26,,,1186673185.0,ns,73
HeapVecComparison,heap,26,,,1201153938.0,ns,74
HeapVecComparison,heap,26,,,1220624282.0,ns,75
HeapVecComparison,heap,26,,,1235774521.0,ns,76
HeapVecComparison,heap,26,,,1249595188.0,ns,77
HeapVecComparison,heap,26,,,1231268840.0,ns,78
HeapVecComparison,heap,26,,,1244651675.0,ns,79
HeapVecComparison,heap,26,,,1267060340.0,ns,80
HeapVecComparison,heap,26,,,1277839891.0,ns,81
HeapVecComparison,heap,26,,,1290584157.0,ns,82
HeapVecComparison,heap,26,,,1306573671.0,ns,83
HeapVecComparison,heap,26,,,1321840740.0,ns,84
HeapVecComparison,heap,26,,,1343108826.0,ns,85
HeapVecComparison,heap,26,,,1354063355.0,ns,86
HeapVecComparison,heap,26,,,1372996932.0,ns,87
HeapVecComparison,heap,26,,,1389404139.0,ns,88
HeapVecComparison,heap,26,,,1403464935.0,ns,89
HeapVecComparison,heap,26,,,1419889135.0,ns,90
HeapVecComparison,heap,26,,,1437505302.0,ns,91
HeapVecComparison,heap,26,,,1448662049.0,ns,92
HeapVecComparison,heap,26,,,1469517090.0,ns,93
HeapVecComparison,heap,26,,,1487585274.0,ns,94
HeapVecComparison,heap,26,,,1503467958.0,ns,95
HeapVecComparison,heap,26,,,1515365906.0,ns,96
HeapVecComparison,heap,26,,,1531221971.0,ns,97
HeapVecComparison,heap,26,,,1547132205.0,ns,98
HeapVecComparison,heap,26,,,1562341546.0,ns,99
HeapVecComparison,heap,26,,,1578678562.0,ns,100
