group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,heap,35,,,23916385.0,ns,1
HeapVecComparison,heap,35,,,45868894.0,ns,2
HeapVecComparison,heap,35,,,68783647.0,ns,3
HeapVecComparison,heap,35,,,91729693.0,ns,4
HeapVecComparison,heap,35,,,114737512.0,ns,5
HeapVecComparison,heap,35,,,137632870.0,ns,6
HeapVecComparison,heap,35,,,160701434.0,ns,7
HeapVecComparison,heap,35,,,183605087.0,ns,8
HeapVecComparison,heap,35,,,206580717.0,ns,9
HeapVecComparison,heap,35,,,229592273.0,ns,10
HeapVecComparison,heap,35,,,252579204.0,ns,11
HeapVecComparison,heap,35,,,275298912.0,ns,12
HeapVecComparison,heap,35,,,298062794.0,ns,13
HeapVecComparison,heap,35,,,321223800.0,ns,14
HeapVecComparison,heap,35,,,344282456.0,ns,15
HeapVecComparison,heap,35,,,367024707.0,ns,16
HeapVecComparison,heap,35,,,390148494.0,ns,17
HeapVecComparison,heap,35,,,412619588.0,ns,18
HeapVecComparison,heap,35,,,435442039.0,ns,19
HeapVecComparison,heap,35,,,459239149.0,ns,20
HeapVecComparison,heap,35,,,481769783.0,ns,21
HeapVecComparison,heap,35,,,504511383.0,ns,22
HeapVecComparison,heap,35,,,527099917.0,ns,23
HeapVecComparison,heap,35,,,550004463.0,ns,24
HeapVecComparison,heap,35,,,573484848.0,ns,25
HeapVecComparison,heap,35,,,596788663.0,ns,26
HeapVecComparison,heap,35,,,620056942.0,ns,27
HeapVecComparison,heap,35,,,641818412.0,ns,28
HeapVecComparison,heap,35,,,664669218.0,ns,29
HeapVecComparison,heap,35,,,691012584.0,ns,30
HeapVecComparison,heap,35,,,710716165.0,ns,31
HeapVecComparison,heap,35,,,733577881.0,ns,32
HeapVecComparison,heap,35,,,756336743.0,ns,33
HeapVecComparison,heap,35,,,779696283.0,ns,34
HeapVecComparison,heap,35,,,802257333.0,ns,35
HeapVecComparison,heap,35,,,825620710.0,ns,36
HeapVecComparison,heap,35,,,848332584.0,ns,37
HeapVecComparison,heap,35,,,871302743.0,ns,38
HeapVecComparison,heap,35,,,893828078.0,ns,39
HeapVecComparison,heap,35,,,917241709.0,ns,40
HeapVecComparison,heap,35,,,941107167.0,ns,41
HeapVecComparison,heap,35,,,963057992.0,ns,42
HeapVecComparison,heap,35,,,985513437.0,ns,43
HeapVecComparison,heap,35,,,1009086877.0,ns,44
HeapVecComparison,heap,35,,,1033236939.0,ns,45
HeapVecComparison,heap,35,,,1056226526.0,ns,46
HeapVecComparison,heap,35,,,1080105117.0,ns,47
HeapVecComparison,heap,35,,,1115560597.0,ns,48
HeapVecComparison,heap,35,,,1124042118.0,ns,49
HeapVecComparison,heap,35,,,1146088322.0,ns,50
HeapVecComparison,heap,35,,,1172219852.0,ns,51
HeapVecComparison,heap,35,,,1193166124.0,ns,52
HeapVecComparison,heap,35,,,1215255120.0,ns,53
HeapVecComparison,heap,35,,,1237831782.0,ns,54
HeapVecComparison,heap,35,,,1262072893.0,ns,55
HeapVecComparison,heap,35,,,1285426403.0,ns,56
HeapVecComparison,heap,35,,,1309685317.0,ns,57
HeapVecComparison,heap,35,,,1331395634.0,ns,58
HeapVecComparison,heap,35,,,1353416451.0,ns,59
HeapVecComparison,heap,35,,,1375619573.0,ns,60
HeapVecComparison,heap,35,,,1400217494.0,ns,61
HeapVecComparison,heap,35,,,1423259287.0,ns,62
HeapVecComparison,heap,35,,,1465994092.0,ns,63
HeapVecComparison,heap,35,,,1511504514.0,ns,64
HeapVecComparison,heap,35,,,1534117431.0,ns,65
HeapVecComparison,heap,35,,,1558845699.0,ns,66
HeapVecComparison,heap,35,,,1580056598.0,ns,67
HeapVecComparison,heap,35,,,1606680099.0,ns,68
HeapVecComparison,heap,35,,,1630666063.0,ns,69
HeapVecComparison,heap,35,,,1654392872.0,ns,70
HeapVecComparison,heap,35,,,1677447300.0,ns,71
HeapVecComparison,heap,35,,,1700428176.0,ns,72
HeapVecComparison,heap,35,,,1724377774.0,ns,73
HeapVecComparison,heap,35,,,1743353710.0,ns,74
HeapVecComparison,heap,35,,,1768056379.0,ns,75
HeapVecComparison,heap,35,,,1792541029.0,ns,76
HeapVecComparison,heap,35,,,1814396145.0,ns,77
HeapVecComparison,heap,35,,,1841757232.0,ns,78
HeapVecComparison,heap,35,,,1860242628.0,ns,79
HeapVecComparison,heap,35,,,1891081777.0,ns,80
HeapVecComparison,heap,35,,,1920419392.0,ns,81
HeapVecComparison,heap,35,,,1934474316.0,ns,82
HeapVecComparison,heap,35,,,1958551882.0,ns,83
HeapVecComparison,heap,35,,,1982213277.0,ns,84
HeapVecComparison,heap,35,,,2007603085.0,ns,85
HeapVecComparison,heap,35,,,2043530379.0,ns,86
HeapVecComparison,heap,35,,,2051557198.0,ns,87
HeapVecComparison,heap,35,,,2081594523.0,ns,88
HeapVecComparison,heap,35,,,2105070189.0,ns,89
HeapVecComparison,heap,35,,,2129431249.0,ns,90
HeapVecComparison,heap,35,,,2153435507.0,ns,91
HeapVecComparison,heap,35,,,2175083366.0,ns,92
HeapVecComparison,heap,35,,,2199144611.0,ns,93
HeapVecComparison,heap,35,,,2219980385.0,ns,94
HeapVecComparison,heap,35,,,2244907946.0,ns,95
HeapVecComparison,heap,35,,,2273916493.0,ns,96
HeapVecComparison,heap,35,,,2303016831.0,ns,97
HeapVecComparison,heap,35,,,2314931219.0,ns,98
HeapVecComparison,heap,35,,,2342149779.0,ns,99
HeapVecComparison,heap,35,,,2366309178.0,ns,100
