group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,vec,33,,,9048964.0,ns,1
HeapVecComparison,vec,33,,,18100424.0,ns,2
HeapVecComparison,vec,33,,,27147374.0,ns,3
HeapVecComparison,vec,33,,,36129135.0,ns,4
HeapVecComparison,vec,33,,,45146368.0,ns,5
HeapVecComparison,vec,33,,,54455340.0,ns,6
HeapVecComparison,vec,33,,,63337473.0,ns,7
HeapVecComparison,vec,33,,,72245452.0,ns,8
HeapVecComparison,vec,33,,,81283177.0,ns,9
HeapVecComparison,vec,33,,,90381393.0,ns,10
HeapVecComparison,vec,33,,,99342161.0,ns,11
HeapVecComparison,vec,33,,,108440911.0,ns,12
HeapVecComparison,vec,33,,,117582117.0,ns,13
HeapVecComparison,vec,33,,,126541475.0,ns,14
HeapVecComparison,vec,33,,,135440288.0,ns,15
HeapVecComparison,vec,33,,,144606711.0,ns,16
HeapVecComparison,vec,33,,,153440253.0,ns,17
HeapVecComparison,vec,33,,,162519985.0,ns,18
HeapVecComparison,vec,33,,,171661003.0,ns,19
HeapVecComparison,vec,33,,,180731087.0,ns,20
HeapVecComparison,vec,33,,,189732812.0,ns,21
HeapVecComparison,vec,33,,,198688031.0,ns,22
HeapVecComparison,vec,33,,,233859859.0,ns,23
HeapVecComparison,vec,33,,,224010022.0,ns,24
HeapVecComparison,vec,33,,,225783318.0,ns,25
HeapVecComparison,vec,33,,,235075879.0,ns,26
HeapVecComparison,vec,33,,,243491818.0,ns,27
HeapVecComparison,vec,33,,,252916565.0,ns,28
HeapVecComparison,vec,33,,,261930126.0,ns,29
HeapVecComparison,vec,33,,,271035164.0,ns,30
HeapVecComparison,vec,33,,,279686282.0,ns,31
HeapVecComparison,vec,33,,,289135669.0,ns,32
HeapVecComparison,vec,33,,,298140871.0,ns,33
HeapVecComparison,vec,33,,,306806918.0,ns,34
HeapVecComparison,vec,33,,,316121761.0,ns,35
HeapVecComparison,vec,33,,,325275070.0,ns,36
HeapVecComparison,vec,33,,,333697710.0,ns,37
HeapVecComparison,vec,33,,,348355527.0,ns,38
HeapVecComparison,vec,33,,,355078599.0,ns,39
HeapVecComparison,vec,33,,,361807430.0,ns,40
HeapVecComparison,vec,33,,,370684092.0,ns,41
HeapVecComparison,vec,33,,,379509558.0,ns,42
HeapVecComparison,vec,33,,,388086165.0,ns,43
HeapVecComparison,vec,33,,,451206631.0,ns,44
HeapVecComparison,vec,33,,,416331381.0,ns,45
HeapVecComparison,vec,33,,,417148753.0,ns,46
HeapVecComparison,vec,33,,,425899869.0,ns,47
HeapVecComparison,vec,33,,,435158838.0,ns,48
HeapVecComparison,vec,33,,,444729971.0,ns,49
HeapVecComparison,vec,33,,,455256379.0,ns,50
HeapVecComparison,vec,33,,,460804865.0,ns,51
HeapVecComparison,vec,33,,,469532237.0,ns,52
HeapVecComparison,vec,33,,,478510129.0,ns,53
HeapVecComparison,vec,33,,,487032185.0,ns,54
HeapVecComparison,vec,33,,,495880854.0,ns,55
HeapVecComparison,vec,33,,,505077616.0,ns,56
HeapVecComparison,vec,33,,,514330372.0,ns,57
HeapVecComparison,vec,33,,,522760837.0,ns,58
HeapVecComparison,vec,33,,,532477184.0,ns,59
HeapVecComparison,vec,33,,,542207827.0,ns,60
HeapVecComparison,vec,33,,,551531346.0,ns,61
HeapVecComparison,vec,33,,,558995910.0,ns,62
HeapVecComparison,vec,33,,,569061850.0,ns,63
HeapVecComparison,vec,33,,,578247784.0,ns,64
HeapVecComparison,vec,33,,,586629305.0,ns,65
HeapVecComparison,vec,33,,,596267395.0,ns,66
HeapVecComparison,vec,33,,,604543610.0,ns,67
HeapVecComparison,vec,33,,,613842454.0,ns,68
HeapVecComparison,vec,33,,,621889137.0,ns,69
HeapVecComparison,vec,33,,,631104836.0,ns,70
HeapVecComparison,vec,33,,,639957573.0,ns,71
HeapVecComparison,vec,33,,,648399107.0,ns,72
HeapVecComparison,vec,33,,,658016416.0,ns,73
HeapVecComparison,vec,33,,,666745682.0,ns,74
HeapVecComparison,vec,33,,,675791482.0,ns,75
HeapVecComparison,vec,33,,,685448316.0,ns,76
HeapVecComparison,vec,33,,,694414025.0,ns,77
HeapVecComparison,vec,33,,,703266341.0,ns,78
HeapVecComparison,vec,33,,,713391613.0,ns,79
HeapVecComparison,vec,33,,,722381668.0,ns,80
HeapVecComparison,vec,33,,,732127108.0,ns,81
HeapVecComparison,vec,33,,,742107572.0,ns,82
HeapVecComparison,vec,33,,,748636277.0,ns,83
HeapVecComparison,vec,33,,,757397484.0,ns,84
HeapVecComparison,vec,33,,,767066890.0,ns,85
HeapVecComparison,vec,33,,,775461169.0,ns,86
HeapVecComparison,vec,33,,,783878758.0,ns,87
HeapVecComparison,vec,33,,,794246647.0,ns,88
HeapVecComparison,vec,33,,,802976262.0,ns,89
HeapVecComparison,vec,33,,,810053930.0,ns,90
HeapVecComparison,vec,33,,,819554881.0,ns,91
HeapVecComparison,vec,33,,,828910301.0,ns,92
HeapVecComparison,vec,33,,,837780550.0,ns,93
HeapVecComparison,vec,33,,,847032976.0,ns,94
HeapVecComparison,vec,33,,,856521746.0,ns,95
HeapVecComparison,vec,33,,,864265882.0,ns,96
HeapVecComparison,vec,33,,,875227546.0,ns,97
HeapVecComparison,vec,33,,,883355122.0,ns,98
HeapVecComparison,vec,33,,,892145561.0,ns,99
HeapVecComparison,vec,33,,,901237397.0,ns,100
