group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,heap,2,,,1482581.0,ns,2
HeapVecComparison,heap,2,,,2962337.0,ns,4
HeapVecComparison,heap,2,,,4386589.0,ns,6
HeapVecComparison,heap,2,,,5851055.0,ns,8
HeapVecComparison,heap,2,,,7579297.0,ns,10
HeapVecComparison,heap,2,,,8963645.0,ns,12
HeapVecComparison,heap,2,,,10242304.0,ns,14
HeapVecComparison,heap,2,,,11722960.0,ns,16
HeapVecComparison,heap,2,,,13169444.0,ns,18
HeapVecComparison,heap,2,,,14632028.0,ns,20
HeapVecComparison,heap,2,,,16161968.0,ns,22
HeapVecComparison,heap,2,,,17579728.0,ns,24
HeapVecComparison,heap,2,,,19283623.0,ns,26
HeapVecComparison,heap,2,,,21237508.0,ns,28
HeapVecComparison,heap,2,,,22774974.0,ns,30
HeapVecComparison,heap,2,,,24341390.0,ns,32
HeapVecComparison,heap,2,,,25765423.0,ns,34
HeapVecComparison,heap,2,,,27057757.0,ns,36
HeapVecComparison,heap,2,,,28296450.0,ns,38
HeapVecComparison,heap,2,,,29258155.0,ns,40
HeapVecComparison,heap,2,,,30760653.0,ns,42
HeapVecComparison,heap,2,,,32392814.0,ns,44
HeapVecComparison,heap,2,,,33686771.0,ns,46
HeapVecComparison,heap,2,,,35291883.0,ns,48
HeapVecComparison,heap,2,,,36676790.0,ns,50
HeapVecComparison,heap,2,,,38136850.0,ns,52
HeapVecComparison,heap,2,,,39589033.0,ns,54
HeapVecComparison,heap,2,,,41004469.0,ns,56
HeapVecComparison,heap,2,,,42851594.0,ns,58
HeapVecComparison,heap,2,,,45456540.0,ns,60
HeapVecComparison,heap,2,,,47108148.0,ns,62
HeapVecComparison,heap,2,,,48307058.0,ns,64
HeapVecComparison,heap,2,,,49668671.0,ns,66
HeapVecComparison,heap,2,,,51152446.0,ns,68
HeapVecComparison,heap,2,,,52292603.0,ns,70
HeapVecComparison,heap,2,,,54069327.0,ns,72
HeapVecComparison,heap,2,,,55663466.0,ns,74
HeapVecComparison,heap,2,,,57371321.0,ns,76
HeapVecComparison,heap,2,,,59062663.0,ns,78
HeapVecComparison,heap,2,,,59758188.0,ns,80
HeapVecComparison,heap,2,,,60254429.0,ns,82
HeapVecComparison,heap,2,,,61847547.0,ns,84
HeapVecComparison,heap,2,,,65340410.0,ns,86
HeapVecComparison,heap,2,,,66269182.0,ns,88
HeapVecComparison,heap,2,,,65946697.0,ns,90
HeapVecComparison,heap,2,,,69309946.0,ns,92
HeapVecComparison,heap,2,,,71703036.0,ns,94
HeapVecComparison,heap,2,,,73206976.0,ns,96
HeapVecComparison,heap,2,,,74436643.0,ns,98
HeapVecComparison,heap,2,,,76332479.0,ns,100
HeapVecComparison,heap,2,,,77271851.0,ns,102
HeapVecComparison,heap,2,,,77597512.0,ns,104
HeapVecComparison,heap,2,,,77814109.0,ns,106
HeapVecComparison,heap,2,,,81190712.0,ns,108
HeapVecComparison,heap,2,,,83105114.0,ns,110
HeapVecComparison,heap,2,,,85664355.0,ns,112
HeapVecComparison,heap,2,,,86956598.0,ns,114
HeapVecComparison,heap,2,,,88266216.0,ns,116
HeapVecComparison,heap,2,,,89766379.0,ns,118
HeapVecComparison,heap,2,,,91002979.0,ns,120
HeapVecComparison,heap,2,,,90512940.0,ns,122
HeapVecComparison,heap,2,,,90820878.0,ns,124
HeapVecComparison,heap,2,,,94104328.0,ns,126
HeapVecComparison,heap,2,,,96966034.0,ns,128
HeapVecComparison,heap,2,,,99635163.0,ns,130
HeapVecComparison,heap,2,,,100842676.0,ns,132
HeapVecComparison,heap,2,,,102219059.0,ns,134
HeapVecComparison,heap,2,,,101885895.0,ns,136
HeapVecComparison,heap,2,,,104127128.0,ns,138
HeapVecComparison,heap,2,,,105844670.0,ns,140
HeapVecComparison,heap,2,,,108283234.0,ns,142
HeapVecComparison,heap,2,,,110282224.0,ns,144
HeapVecComparison,heap,2,,,111326515.0,ns,146
HeapVecComparison,heap,2,,,110935338.0,ns,148
HeapVecComparison,heap,2,,,112958745.0,ns,150
HeapVecComparison,heap,2,,,115616430.0,ns,152
HeapVecComparison,heap,2,,,117432047.0,ns,154
HeapVecComparison,heap,2,,,119047527.0,ns,156
HeapVecComparison,heap,2,,,119191527.0,ns,158
HeapVecComparison,heap,2,,,120979982.0,ns,160
HeapVecComparison,heap,2,,,123107182.0,ns,162
HeapVecComparison,heap,2,,,125276501.0,ns,164
HeapVecComparison,heap,2,,,127242811.0,ns,166
HeapVecComparison,heap,2,,,126696745.0,ns,168
HeapVecComparison,heap,2,,,128770136.0,ns,170
HeapVecComparison,heap,2,,,130978697.0,ns,172
HeapVecComparison,heap,2,,,132644824.0,ns,174
HeapVecComparison,heap,2,,,133428473.0,ns,176
HeapVecComparison,heap,2,,,134732449.0,ns,178
HeapVecComparison,heap,2,,,136895317.0,ns,180
HeapVecComparison,heap,2,,,138938099.0,ns,182
HeapVecComparison,heap,2,,,141060340.0,ns,184
HeapVecComparison,heap,2,,,148722882.0,ns,186
HeapVecComparison,heap,2,,,141111105.0,ns,188
HeapVecComparison,heap,2,,,144397380.0,ns,190
HeapVecComparison,heap,2,,,147392618.0,ns,192
HeapVecComparison,heap,2,,,147199326.0,ns,194
HeapVecComparison,heap,2,,,148313857.0,ns,196
HeapVecComparison,heap,2,,,149916432.0,ns,198
HeapVecComparison,heap,2,,,151214617.0,ns,200
